attr_type,pair,qkey,layer,wd_A_to_realA,wd_A_to_realB,wd_B_to_realB,wd_patch_to_realB,wd_ctrl_to_realB,shift_ke_realB,shift_ctrl_ke_realB
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $50,000-$75,000 -> EDUCATIONxINCOME :: College graduate/some postgrad | Refused",ROMRELDUR_W50,0,0.5182926721291033,2.3518444855728102,2.3155054803041972,2.3510364003942787,2.3489641335710476,0.0008080851785314813,0.0028803520017626205
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $50,000-$75,000 -> EDUCATIONxINCOME :: College graduate/some postgrad | Refused",ROMRELDUR_W50,1,0.5182926721291033,2.3518444855728102,2.3155054803041972,2.35195517981186,2.3489641335710476,-0.00011069423904963571,0.0028803520017626205
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $50,000-$75,000 -> EDUCATIONxINCOME :: College graduate/some postgrad | Refused",ROMRELDUR_W50,2,0.5182926721291033,2.3518444855728102,2.3155054803041972,2.349521418291916,2.3489641335710476,0.0023230672808942643,0.0028803520017626205
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $50,000-$75,000 -> EDUCATIONxINCOME :: College graduate/some postgrad | Refused",ROMRELDUR_W50,3,0.5182926721291033,2.3518444855728102,2.3155054803041972,2.3525159757771785,2.3489641335710476,-0.0006714902043682969,0.0028803520017626205
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $50,000-$75,000 -> EDUCATIONxINCOME :: College graduate/some postgrad | Refused",ROMRELDUR_W50,4,0.5182926721291033,2.3518444855728102,2.3155054803041972,2.344161122795318,2.3489641335710476,0.007683362777492153,0.0028803520017626205
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $50,000-$75,000 -> EDUCATIONxINCOME :: College graduate/some postgrad | Refused",ROMRELDUR_W50,5,0.5182926721291033,2.3518444855728102,2.3155054803041972,2.3469333055675023,2.3489641335710476,0.00491118000530788,0.0028803520017626205
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $50,000-$75,000 -> EDUCATIONxINCOME :: College graduate/some postgrad | Refused",ROMRELDUR_W50,6,0.5182926721291033,2.3518444855728102,2.3155054803041972,2.3498837992583574,2.3489641335710476,0.0019606863144527864,0.0028803520017626205
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $50,000-$75,000 -> EDUCATIONxINCOME :: College graduate/some postgrad | Refused",ROMRELDUR_W50,7,0.5182926721291033,2.3518444855728102,2.3155054803041972,2.348435903363885,2.3489641335710476,0.0034085822089253703,0.0028803520017626205
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $50,000-$75,000 -> EDUCATIONxINCOME :: College graduate/some postgrad | Refused",ROMRELDUR_W50,8,0.5182926721291033,2.3518444855728102,2.3155054803041972,2.3459229609868926,2.3489641335710476,0.005921524585917659,0.0028803520017626205
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $50,000-$75,000 -> EDUCATIONxINCOME :: College graduate/some postgrad | Refused",ROMRELDUR_W50,9,0.5182926721291033,2.3518444855728102,2.3155054803041972,2.393700126001235,2.3489641335710476,-0.041855640428424934,0.0028803520017626205
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $50,000-$75,000 -> EDUCATIONxINCOME :: College graduate/some postgrad | Refused",ROMRELDUR_W50,10,0.5182926721291033,2.3518444855728102,2.3155054803041972,2.3555262449697403,2.3489641335710476,-0.003681759396930051,0.0028803520017626205
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $50,000-$75,000 -> EDUCATIONxINCOME :: College graduate/some postgrad | Refused",ROMRELDUR_W50,11,0.5182926721291033,2.3518444855728102,2.3155054803041972,2.388294756412506,2.3489641335710476,-0.036450270839695875,0.0028803520017626205
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $50,000-$75,000 -> EDUCATIONxINCOME :: College graduate/some postgrad | Refused",ROMRELDUR_W50,12,0.5182926721291033,2.3518444855728102,2.3155054803041972,2.3488409425631516,2.3489641335710476,0.00300354300965866,0.0028803520017626205
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $50,000-$75,000 -> EDUCATIONxINCOME :: College graduate/some postgrad | Refused",ROMRELDUR_W50,13,0.5182926721291033,2.3518444855728102,2.3155054803041972,2.324657216280276,2.3489641335710476,0.027187269292534122,0.0028803520017626205
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $50,000-$75,000 -> EDUCATIONxINCOME :: College graduate/some postgrad | Refused",ROMRELDUR_W50,14,0.5182926721291033,2.3518444855728102,2.3155054803041972,2.3552738115380385,2.3489641335710476,-0.0034293259652282693,0.0028803520017626205
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $50,000-$75,000 -> EDUCATIONxINCOME :: College graduate/some postgrad | Refused",ROMRELDUR_W50,15,0.5182926721291033,2.3518444855728102,2.3155054803041972,2.338608686965445,2.3489641335710476,0.013235798607365012,0.0028803520017626205
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $50,000-$75,000 -> EDUCATIONxINCOME :: College graduate/some postgrad | Refused",ROMRELDUR_W50,16,0.5182926721291033,2.3518444855728102,2.3155054803041972,2.3426969453608883,2.3489641335710476,0.009147540211921878,0.0028803520017626205
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $50,000-$75,000 -> EDUCATIONxINCOME :: College graduate/some postgrad | Refused",ROMRELDUR_W50,17,0.5182926721291033,2.3518444855728102,2.3155054803041972,2.3515300501023972,2.3489641335710476,0.00031443547041298814,0.0028803520017626205
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $50,000-$75,000 -> EDUCATIONxINCOME :: College graduate/some postgrad | Refused",ROMRELDUR_W50,18,0.5182926721291033,2.3518444855728102,2.3155054803041972,2.350969979503379,2.3489641335710476,0.0008745060694312912,0.0028803520017626205
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $50,000-$75,000 -> EDUCATIONxINCOME :: College graduate/some postgrad | Refused",ROMRELDUR_W50,19,0.5182926721291033,2.3518444855728102,2.3155054803041972,2.350044984367118,2.3489641335710476,0.0017995012056921666,0.0028803520017626205
